index,walk_10min,walk_15min,car_10min,car_15min,car_20min,car_30min,transit_10min,transit_15min,transit_20min,transit_30min
852,,10.2,1.4,1.4,1.4,1.4,,10.2,10.2,10.2
853,,13.9,2.2,2.2,2.2,2.2,,13.9,13.9,13.9
854,5.9,5.9,2.4,2.4,2.4,2.4,5.9,5.9,5.9,5.9
855,2.2,2.2,1.3,1.3,1.3,1.3,2.2,2.2,2.2,2.2
856,1.4,1.4,0.4,0.4,0.4,0.4,1.4,1.4,1.4,1.4
857,4.9,4.9,1.5,1.5,1.5,1.5,4.9,4.9,4.9,4.9
858,7.7,7.7,2.1,2.1,2.1,2.1,7.7,7.7,7.7,7.7
859,,12.2,2.2,2.2,2.2,2.2,,12.2,12.2,12.2
861,,11.3,2.2,2.2,2.2,2.2,,11.3,11.3,11.3
862,,10.9,2.0,2.0,2.0,2.0,,10.9,10.9,10.9
863,,10.5,1.8,1.8,1.8,1.8,,10.5,10.5,10.5
864,7.8,7.8,1.3,1.3,1.3,1.3,7.8,7.8,7.8,7.8
865,7.5,7.5,1.6,1.6,1.6,1.6,7.5,7.5,7.5,7.5
866,9.4,9.4,1.6,1.6,1.6,1.6,9.4,9.4,9.4,9.4
876,,,3.8,3.8,3.8,3.8,,,,25.2
877,,,2.8,2.8,2.8,2.8,,,,21.2
879,,13.9,3.6,3.6,3.6,3.6,,13.9,13.9,13.9
880,,11.8,2.5,2.5,2.5,2.5,,11.8,11.8,11.8
881,8.8,8.8,2.8,2.8,2.8,2.8,8.8,8.8,8.8,8.8
882,6.1,6.1,2.1,2.1,2.1,2.1,6.1,6.1,6.1,6.1
883,5.1,5.1,1.5,1.5,1.5,1.5,5.1,5.1,5.1,5.1
884,7.8,7.8,1.8,1.8,1.8,1.8,7.8,7.8,7.8,7.8
885,9.7,9.7,2.4,2.4,2.4,2.4,9.7,9.7,9.7,9.7
886,,11.3,2.9,2.9,2.9,2.9,,11.3,11.3,11.3
887,,11.8,2.8,2.8,2.8,2.8,,11.8,11.8,11.8
888,9.2,9.2,1.4,1.4,1.4,1.4,9.2,9.2,9.2,9.2
889,7.7,7.7,1.7,1.7,1.7,1.7,7.7,7.7,7.7,7.7
890,,11.0,1.8,1.8,1.8,1.8,,11.0,11.0,11.0
892,9.5,9.5,2.0,2.0,2.0,2.0,9.5,9.5,9.5,9.5
893,4.8,4.8,1.1,1.1,1.1,1.1,4.8,4.8,4.8,4.8
894,4.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0
895,4.9,4.9,1.1,1.1,1.1,1.1,4.9,4.9,4.9,4.9
896,7.5,7.5,2.4,2.4,2.4,2.4,7.5,7.5,7.5,7.5
897,10.0,10.0,2.6,2.6,2.6,2.6,10.0,10.0,10.0,10.0
